year,tot_occurrence
1959,33
1990,303
1903,12
1975,67
1977,141
1924,9
2003,392
2007,449
2018,336
1974,72
2015,396
1927,10
1955,32
2006,446
1978,137
1908,3
1925,13
1961,29
2013,353
1942,12
1939,12
1944,15
1902,10
1922,8
1952,29
1934,8
1956,36
1988,234
1997,323
1994,255
1968,83
1917,8
2014,348
1951,31
1930,23
1938,7
1973,65
1979,122
1904,4
1946,17
1947,14
1901,2
2019,444
1971,63
1950,27
1913,6
1949,21
1966,84
2004,405
1991,266
1967,80
1969,83
1982,150
1932,13
1945,17
1957,28
1943,16
1989,189
1996,273
1914,8
1998,363
1963,44
1910,17
1965,68
1905,8
1985,175
2020,396
1960,39
1926,16
1921,2
1970,82
2012,370
1918,8
1916,3
1987,227
1923,16
1941,11
1907,3
1912,6
2009,384
1911,10
1936,20
2016,349
1920,12
1995,277
1931,14
1937,10
1919,5
1906,13
1915,7
1909,17
1980,144
1953,37
2001,447
1972,63
1958,24
1992,232
1983,206
1954,33
2005,498
1935,16
1984,156
1964,63
2000,523
1981,146
2010,441
1986,174
2011,357
1976,99
1940,21
2008,400
2017,367
1948,25
1999,416
1962,29
2002,532
1900,7
1929,5
1928,17
1933,11
2021,101
1993,267
